@relation thread_length

@attribute threadID numeric
@attribute sentiment1 numeric
@attribute sentiment2 numeric
@attribute binnedTimeDiff1 numeric
@attribute binnedTimeDiff2 numeric
@attribute timeDiff1 numeric
@attribute timeDiff2 numeric
@attribute arrivalPattern1 numeric
@attribute arrivalPattern2 numeric
@attribute posterInteractions1 numeric
@attribute posterInteractions2 numeric
@attribute mutualInteractions1 numeric
@attribute mutualInteractions2 numeric
@attribute numWords1 numeric
@attribute numWords2 numeric
@attribute question1 numeric
@attribute question2 numeric
@attribute exclaim1 numeric
@attribute exclaim2 numeric
@attribute onThreadTopic1 numeric
@attribute onThreadTopic2 numeric
@attribute overlapPrevious1 numeric
@attribute overlapPrevious2 numeric
@attribute overlapDistance1 numeric
@attribute overlapDistance2 numeric
@attribute timeliness1 numeric
@attribute timeliness2 numeric
@attribute lengthiness1 numeric
@attribute lengthiness2 numeric
@attribute formatPunctuation1 numeric
@attribute formatPunctuation2 numeric
@attribute formatEmoticons1 numeric
@attribute formatEmoticons2 numeric
@attribute formatCapitals1 numeric
@attribute formatCapitals2 numeric
@attribute averageSentiment numeric
@attribute participants numeric
@attribute totalLinks numeric
@attribute threadLength numeric

@data
14541,0,2,1,1,14,41,1,12,1,1,1,107,232,9,0,0,0,0,0.2717,0.2222,0.2717,0.5556,1,1,1.0612,1.9388,2.0992,0.0744,0,0,0,0,0,0,1.3333,3,3,3
14542,-1,0,1,3,17,276,1,12,2,1,538,3,21,55,0,0,0,0,0.3704,0.1475,0.3704,0.1967,1,1,0.1996,3.0255,0.8766,1.9805,0,0,0,0,0,1,-0.3333,3,4,5
14543,-1,-2,2,7,132,4187,1,12,7,1,853,4,47,49,0,0,0,0,0.5577,0.4231,0.5577,0.4231,1,2,0.21,6.4097,1.1131,1.1131,0,0,0,0,0,0,-1,3,9,7
14573,-2,-1,1,2,47,70,1,12,3,4,105,224,16,90,0,0,0,0,0.125,0.2136,0.125,0.2136,1,2,0.4972,0.2466,0.2416,1.5556,0,0,0,0,0,0,-1,3,8,33
14574,-1,0,1,2,25,112,1,10,1,-1,9,-1,30,116,1,1,0,0,0.4118,0.504,0.4118,0.504,1,2,0.0828,0.2778,0.4982,1.8315,0,0,0,0,0,0,-1,2,1,8
14575,2,0,0,1,3,7,1,10,1,-1,4,-1,18,18,1,0,0,0,0.5238,0.3333,0.5238,0.3333,1,2,0.0014,0.0012,0.5164,0.4426,0,0,0,0,0,1,0.6667,2,1,6
14576,0,0,4,5,698,1225,1,12,1,1,10,3,35,10,0,0,0,0,0.4146,0.5833,0.4146,0.5833,1,2,0.0613,0.0463,0.4432,0.1297,0,0,0,0,1,0,0,3,3,4
14578,0,2,4,4,606,606,1,12,1,1,267,104,57,5,0,0,0,0,0.3906,0.3333,0.3906,0.5,1,1,0.556,0.0002,0.8056,0.0755,0,0,0,0,0,0,1,3,43,25
14579,1,0,2,2,72,129,0,1,-1,1,-1,1,103,38,0,0,1,0,0.4706,0.4348,0.4706,0.4348,1,2,0.7016,0.5497,1.136,0.4391,0,0,0,0,0,0,0.3333,2,1,4
14580,1,0,1,1,20,41,1,12,1,1,5,14,99,11,0,0,1,0,0.0082,0,0.0082,0.5714,1,1,0.0646,0.0676,2.8979,0.3325,0,1,0,0,0,0,-0.6667,3,3,10
14594,1,1,2,2,86,143,1,10,1,-1,86,-1,41,43,0,1,0,0,0.4898,0.6545,0.4898,0.6545,1,2,0.8457,0.5624,0.5842,0.6557,0,0,0,0,0,0,0.3333,2,1,8
14595,0,-1,2,4,168,599,1,12,1,1,37,37,10,19,1,0,0,0,0.0909,0.24,0.0909,0.24,1,2,0.0913,0.2343,0.3169,0.7202,0,0,0,0,0,0,-0.3333,3,39,7
14596,0,2,2,2,156,172,1,12,1,1,11,46,60,32,0,0,0,0,0.4507,0.5405,0.4507,0.5405,1,2,0.2503,0.0256,1.3883,0.7235,0,0,0,0,1,0,0.6667,3,6,7
14597,0,-1,6,6,2154,2232,0,1,-1,7,-1,294,9,26,1,1,0,0,0.3,0.1786,0.3,0.1786,1,2,3.7373,0.1345,0.4494,1.2584,0,0,0,0,0,0,-0.3333,2,7,4
14598,1,0,3,4,291,376,1,12,1,1,52,163,90,27,0,0,0,0,0.1731,0.5333,0.1731,0.5333,1,2,0.5156,0.1489,1.1549,0.3331,0,0,0,0,4,0,0.6667,3,9,20
14599,0,1,2,3,131,193,1,12,1,16,4,771,2,35,0,0,0,0,0,0.122,0,0.122,0,2,0.9981,0.469,0.0313,0.6425,0,0,0,0,0,0,0.3333,3,18,16
14600,2,0,5,7,774,2902,1,10,3,-1,170,-1,49,12,0,1,0,0,0.3167,0.3846,0.3167,0.5385,1,1,0.8008,2.1992,1.2676,0.2746,0,0,0,0,0,0,0.6667,2,3,3
14602,0,0,3,4,355,483,1,12,1,1,5,5,43,18,0,0,0,0,0.5,0.4211,0.5,0.4737,1,1,1.6943,0.6135,0.8972,0.3551,0,0,0,0,0,1,0,3,7,4
14612,0,-1,1,5,46,1411,1,12,1,1,134,99,23,42,0,1,0,0,0.5185,0.3125,0.5185,0.3125,1,2,0.1168,3.4244,0.5037,0.8955,0,0,0,0,0,0,-0.3333,3,67,10
14613,0,0,2,2,67,103,1,10,2,-1,761,-1,18,20,0,0,0,0,0.2857,0.3636,0.2857,0.3636,1,2,0.3513,0.1897,0.4118,0.4314,0,1,0,0,0,3,0.3333,2,2,9
14615,0,0,2,5,70,1430,1,12,1,2,42,424,31,20,1,1,0,0,0.4444,0.3333,0.4444,0.3333,1,2,0.0455,0.8795,0.7407,0.4938,0,0,0,0,0,0,-0.3333,3,6,15
14616,0,1,1,1,24,35,1,12,3,3,317,1034,27,18,1,0,0,0,0.3571,0.4,0.3571,0.4,1,2,0.1425,0.0594,0.3813,0.2723,0,2,0,0,0,0,0,3,24,43
14635,0,0,3,5,341,894,1,10,1,-1,149,-1,33,124,0,0,0,0,0.3947,0.4085,0.3947,0.4085,1,2,1.3426,2.175,0.4171,1.5587,0,0,0,0,1,0,0,2,1,10
14637,0,0,1,2,12,75,1,10,1,-1,3,-1,35,15,0,0,0,0,0.5128,0.3333,0.5128,0.3333,1,2,0.0127,0.0664,0.7761,0.3582,0,0,0,0,0,0,0,2,1,4
14638,0,-1,3,4,241,422,1,10,1,-1,2,-1,62,175,1,1,0,1,0.493,0.5572,0.493,0.5572,1,2,0.7804,0.5867,0.5954,1.6855,0,2,0,0,0,2,-0.3333,2,1,4
